name,stream_url,homepage,country,language,tags,codec,bitrate
"CBC Radio One - Inuvik, NT (MP3 stream)",https://playerservices.streamtheworld.com/pls/CHAK_CBC.pls,https://www.cbc.ca/news/canada/north/topic/Location/Northwest%20Territories,Canada,"english,gwich'in,inuvialuktun,north slavey","features,indigenous,news,public radio",MP3,128
"CBC Radio One - Kamloops, BC (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBYKFM_CBC.pls,https://www.cbc.ca/news/canada/kamloops,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - Kelowna, BC (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBTKFM_CBC.pls,https://www.cbc.ca/news/topic/Collections/CBC%20KELOWNA,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - Kingston, ON (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBCKFM_CBC.pls,https://www.cbc.ca/listen/live-radio,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - Kitchener-Waterloo, ON (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBLAFM2_CBC.pls,https://www.cbc.ca/news/canada/kitchener-waterloo,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - London, ON (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBCLFM_CBC.pls,https://www.cbc.ca/news/canada/london,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - Moncton, NB (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBAMFM_CBC.pls,https://www.cbc.ca/news/canada/new-brunswick,Canada,english,"features,news,public radio",MP3,128
"CBC Radio One - Montreal, QC (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBMEFM_CBC.pls,https://www.cbc.ca/news/canada/montreal,Canada,english,"features,news,public radio",MP3,128
CBC Radio One - Nord Quebec (MP3 stream),https://playerservices.streamtheworld.com/pls/CBMPFM_CBC.pls,https://www.cbc.ca/listen/live-radio,Canada,"cree,english","features,indigenous,news,public radio",MP3,128
"CBC Radio One - Ottawa, ON (MP3 stream)",https://playerservices.streamtheworld.com/pls/CBOFM_CBC.pls,https://www.cbc.ca/news/canada/ottawa,Canada,english,"features,news,public radio",MP3,128
