name,stream_url,homepage,country,language,tags,codec,bitrate
2CC - 1206 AM,http://playerservices.streamtheworld.com/api/livestream-redirect/2CCAAC.aac,https://www.2cc.net.au/,Australia,english,news talk,AAC+,64
2CC Talking Canberra,https://playerservices.streamtheworld.com/api/livestream-redirect/2CCAAC.aac,https://www.2cc.net.au/,Australia,english/,"news talk,talk",AAC+,64
2CHR - Cessnock - 96.5 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2CHRAAC.aac,https://www.2chr.org/,Australia,english,"community radio,easy listening,music",AAC+,128
2CHR - Cessnock - 96.5 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2CHR.mp3,https://www.2chr.org/,Australia,english,"community radio,easy listening,music",MP3,128
2Day FM,http://legacy.scahw.com.au/2day_32,https://www.hit.com.au/2day/,Australia,english,,AAC+,33
2DayFM 104.1 Sydney,https://wz2liw.scahw.com.au/live/2day_128.stream/playlist.m3u8,https://www.hit.com.au/2day,Australia,english,adult contemporary,AAC,130
2DRY FM - Broken Hill - 107.7 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2DRYAAC.aac,https://www.2dryfm.com/,Australia,english,"community radio,music",AAC+,128
2DRY FM - Broken Hill - 107.7 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2DRY.mp3,https://www.2dryfm.com/,Australia,english,"community radio,music",MP3,128
2EC,https://playerservices.streamtheworld.com/api/livestream-redirect/BEG_2ECAAC.aac,https://www.2ec.com.au/,Australia,english,"community radio,local news",AAC+,64
2EC - Bega / Batemans Bay - 94.5 FM / 105.9 FM (AAC+),http://playerservices.streamtheworld.com/api/livestream-redirect/BEG_2ECAAC.aac,https://www.2ec.com.au/,Australia,english,"classic hits,commercial,talk",AAC+,64
2EC - Bega / Batemans Bay - 94.5 FM / 105.9 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/BEG_2EC.mp3,https://www.2ec.com.au/,Australia,english,"classic hits,commercial,talk",MP3,128
"2FBI ""FBi Radio"" 94.5 FM Sydney, NSW",https://streamer.fbiradio.com/stream,http://fbiradio.com/,Australia,,"community,eclectic,sydney",MP3,320
2GB - Sydney - 873 AM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2GB.mp3,https://www.2gb.com/,Australia,english,"news,talk radio",MP3,48
2GB 873 Sydney,https://28093.live.streamtheworld.com/2GBAAC_O/HLS/playlist.m3u8,https://www.2gb.com/,Australia,english,"news,sport,talk,talkback",AAC+,48
2GB Sydney (Low Video Stream No Ads),https://2gblive.akamaized.net/hls/live/2033805-b/2GB/2GB360B/chunklist.m3u8,https://www.2gb.com/,Australia,english,"news,radio webcams,sport,sydney,talk,webcam",UNKNOWN,0
2GHR Greater Hume Radio,https://stream.2ghr.org.au:8000/2ghr,https://2ghr.org.au/,Australia,,,AAC,64
2GHR Greater Hume Radio - Holbrook - 96.7 FM (AAC),http://az1.syd2.hostyourservices.au/listen/2ghr/2ghr,https://2ghr.org.au/,Australia,english,"community radio,music,news,talk",AAC,64
2GLF 89.3 - Liverpool - 89.3 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2GLFAAC.aac,https://893fm.com.au/,Australia,english,community radio,AAC+,128
2GLF 89.3 - Liverpool - 89.3 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2GLF.mp3,https://893fm.com.au/,Australia,english,community radio,MP3,128
2HAY FM - Hay - 92.1 FM (AAC+),http://playerservices.streamtheworld.com/api/livestream-redirect/2HAYAAC.aac,https://2hayfm.com.au/,Australia,english,"community radio,current affairs,entertainment,information,local news,variety",AAC+,128
2HAY FM - Hay - 92.1 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2HAY.mp3,https://2hayfm.com.au/,Australia,english,"community radio,current affairs,entertainment,information,local news,variety",MP3,128
2LT - Lithgow - 900 AM (MP3),http://au1.fastcast4u.com/proxy/2lt,https://www.2lt.com.au/,Australia,english,"classic hits,news,talk",MP3,128
2Max FM - Narrabri - 91.3 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2MAXAAC.aac,https://2maxfm.com.au/,Australia,english,"community radio,miscellaneous,music",AAC+,128
2Max FM - Narrabri - 91.3 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2MAX.mp3,https://2maxfm.com.au/,Australia,english,"community radio,miscellaneous,music",MP3,128
2MCE - Bathurst - 92.3 FM (MP3),https://stream.2mce.org/2MCE,https://2mce.org/,Australia,english,community radio,MP3,141
2MCR - Campbelltown - 100.3 FM (MP3),http://cast4.my-control-panel.com/proxy/tim1/som,http://www.2mcr.org.au/,Australia,english,"community radio,music",MP3,128
2MCR 100.3 - Sounds of Macarthur - Macarthur Community Radio,https://cast4.my-control-panel.com/proxy/tim1/som,https://2mcr.org.au/,Australia,english,"australian music,community radio,easy listening,oldies,talkback,world music",MP3,128
2MIA - Griffith - 95.1 FM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/2MIAAAC.aac,https://www.2miafm.org.au/,Australia,english,"community radio,local",AAC+,128
2MIA - Griffith - 95.1 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2MIA.mp3,https://www.2miafm.org.au/,Australia,english,"community radio,local",MP3,128
2MNO Monaro FM,http://220.233.66.253:88/broadwave.m3u,http://www.2mno.org.au/,Australia,english,community radio,UNKNOWN,0
2MNO Monaro FM - 90.5 FM,http://220.233.66.253:88/broadwave.mp3,http://www.2mno.org.au/,Australia,english,community radio,MP3,0
2NCR - River FM,https://audio-edge-d34v9.syd.o.radiomast.io/2317de18-b1e4-4472-bc63-366b1d785252?t=nightvision&cachebuster=7967348993554254,http://2ncr.org.au/,Australia,english,,AAC,96
2NM - Muswellbrook - 981 AM (AAC),http://playerservices.streamtheworld.com/api/livestream-redirect/MUS_2NMAAC.aac,https://www.2nm.com.au/,Australia,english,"adult contemporary,classic hits,local,sports,talk",AAC+,64
2NM - Muswellbrook - 981 AM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/MUS_2NM.mp3,https://www.2nm.com.au/,Australia,english,"adult contemporary,classic hits,local,sports,talk",MP3,128
2NUR FM - Newcastle - 103.7 FM (AAC+),http://playerservices.streamtheworld.com/api/livestream-redirect/2NURFMAAC.aac,https://www.2nurfm.com.au/,Australia,english,"community radio,easy listening,student radio",AAC+,128
2NUR FM - Newcastle - 103.7 FM (MP3),http://playerservices.streamtheworld.com/api/livestream-redirect/2NURFM.mp3,https://www.2nurfm.com.au/,Australia,english,"community radio,easy listening,student radio",MP3,128
2NURFM,https://playerservices.streamtheworld.com/api/livestream-redirect/2NURFM.mp3,https://www.2nurfm.com.au/,Australia,english,easy listening,MP3,128
